Date_time,Mean_temp,Day
2020-01-27T16:50:00Z,29.1035,2020-01-27
2020-01-27T17:00:00Z,29.003500000000003,2020-01-27
2020-01-27T17:10:00Z,28.804000000000002,2020-01-27
2020-01-27T17:20:00Z,28.7545,2020-01-27
2020-01-27T17:30:00Z,28.605,2020-01-27
2020-01-27T17:40:00Z,28.506,2020-01-27
2020-01-27T17:50:00Z,28.357,2020-01-27
2020-01-27T18:00:00Z,28.258,2020-01-27
2020-01-27T18:10:00Z,28.109499999999997,2020-01-27
2020-01-27T18:20:00Z,28.0105,2020-01-27
2020-01-27T18:30:00Z,27.912,2020-01-27
2020-01-27T18:40:00Z,27.813,2020-01-27
2020-01-27T18:50:00Z,27.7635,2020-01-27
2020-01-27T19:00:00Z,27.6655,2020-01-27
2020-01-27T19:10:00Z,27.5175,2020-01-27
2020-01-27T19:20:00Z,27.5175,2020-01-27
2020-01-27T19:30:00Z,27.468,2020-01-27
2020-01-27T19:40:00Z,27.419,2020-01-27
2020-01-27T19:50:00Z,27.419,2020-01-27
2020-01-27T20:00:00Z,27.4685,2020-01-27
2020-01-27T20:10:00Z,27.4195,2020-01-27
2020-01-27T20:20:00Z,27.4685,2020-01-27
2020-01-27T20:30:00Z,27.4685,2020-01-27
2020-01-27T20:40:00Z,27.4685,2020-01-27
2020-01-27T20:50:00Z,27.4685,2020-01-27
2020-01-27T21:00:00Z,27.4685,2020-01-27
2020-01-27T21:10:00Z,27.4685,2020-01-27
2020-01-27T21:20:00Z,27.4685,2020-01-27
2020-01-27T21:30:00Z,27.4685,2020-01-27
2020-01-27T21:40:00Z,27.4685,2020-01-27
2020-01-27T21:50:00Z,27.4685,2020-01-27
2020-01-27T22:00:00Z,27.4685,2020-01-27
2020-01-27T22:10:00Z,27.4685,2020-01-27
2020-01-27T22:20:00Z,27.4685,2020-01-27
2020-01-27T22:30:00Z,27.4685,2020-01-27
2020-01-27T22:40:00Z,27.4685,2020-01-27
2020-01-27T22:50:00Z,27.4685,2020-01-27
2020-01-27T23:00:00Z,27.369999999999997,2020-01-27
2020-01-27T23:10:00Z,27.369999999999997,2020-01-27
2020-01-27T23:20:00Z,27.369999999999997,2020-01-27
2020-01-27T23:30:00Z,27.369999999999997,2020-01-27
2020-01-27T23:40:00Z,27.369999999999997,2020-01-27
2020-01-27T23:50:00Z,27.2715,2020-01-27
2020-01-28T00:00:00Z,27.2715,2020-01-28
2020-01-28T00:10:00Z,27.2715,2020-01-28
2020-01-28T00:20:00Z,27.2715,2020-01-28
2020-01-28T00:30:00Z,27.2715,2020-01-28
2020-01-28T00:40:00Z,27.2715,2020-01-28
2020-01-28T00:50:00Z,27.2715,2020-01-28
2020-01-28T01:00:00Z,27.2715,2020-01-28
2020-01-28T01:10:00Z,27.2715,2020-01-28
2020-01-28T01:20:00Z,27.2225,2020-01-28
2020-01-28T01:30:00Z,27.2225,2020-01-28
2020-01-28T01:40:00Z,27.124499999999998,2020-01-28
2020-01-28T01:50:00Z,27.124499999999998,2020-01-28
2020-01-28T02:00:00Z,27.124499999999998,2020-01-28
2020-01-28T02:10:00Z,27.075,2020-01-28
2020-01-28T02:20:00Z,27.026,2020-01-28
2020-01-28T02:30:00Z,26.977,2020-01-28
2020-01-28T02:40:00Z,26.977,2020-01-28
2020-01-28T02:50:00Z,26.977,2020-01-28
2020-01-28T03:00:00Z,26.977,2020-01-28
2020-01-28T03:10:00Z,26.927999999999997,2020-01-28
2020-01-28T03:20:00Z,26.927999999999997,2020-01-28
2020-01-28T03:30:00Z,26.927999999999997,2020-01-28
2020-01-28T03:40:00Z,26.927999999999997,2020-01-28
2020-01-28T03:50:00Z,26.927999999999997,2020-01-28
2020-01-28T04:00:00Z,26.927999999999997,2020-01-28
2020-01-28T04:10:00Z,26.927999999999997,2020-01-28
2020-01-28T04:20:00Z,26.927999999999997,2020-01-28
2020-01-28T04:30:00Z,26.927999999999997,2020-01-28
2020-01-28T04:40:00Z,26.927999999999997,2020-01-28
2020-01-28T04:50:00Z,26.927999999999997,2020-01-28
2020-01-28T05:00:00Z,26.927999999999997,2020-01-28
2020-01-28T05:10:00Z,26.878999999999998,2020-01-28
2020-01-28T05:20:00Z,26.878999999999998,2020-01-28
2020-01-28T05:30:00Z,26.878999999999998,2020-01-28
2020-01-28T05:40:00Z,26.83,2020-01-28
2020-01-28T05:50:00Z,26.878999999999998,2020-01-28
2020-01-28T06:00:00Z,26.878999999999998,2020-01-28
2020-01-28T06:10:00Z,26.878999999999998,2020-01-28
2020-01-28T06:20:00Z,26.878999999999998,2020-01-28
2020-01-28T06:30:00Z,26.878999999999998,2020-01-28
2020-01-28T06:40:00Z,26.878999999999998,2020-01-28
2020-01-28T06:50:00Z,26.928,2020-01-28
2020-01-28T07:00:00Z,26.928,2020-01-28
2020-01-28T07:10:00Z,26.928,2020-01-28
2020-01-28T07:20:00Z,26.977,2020-01-28
2020-01-28T07:30:00Z,26.977,2020-01-28
2020-01-28T07:40:00Z,26.977,2020-01-28
2020-01-28T07:50:00Z,27.075,2020-01-28
2020-01-28T08:00:00Z,27.075,2020-01-28
2020-01-28T08:10:00Z,27.173,2020-01-28
2020-01-28T08:20:00Z,27.173,2020-01-28
2020-01-28T08:30:00Z,27.272,2020-01-28
2020-01-28T08:40:00Z,27.320999999999998,2020-01-28
2020-01-28T08:50:00Z,27.419,2020-01-28
2020-01-28T09:00:00Z,27.468,2020-01-28
2020-01-28T09:10:00Z,27.567,2020-01-28
2020-01-28T09:20:00Z,27.616,2020-01-28
2020-01-28T09:30:00Z,27.665,2020-01-28
2020-01-28T09:40:00Z,27.7635,2020-01-28
2020-01-28T09:50:00Z,27.616,2020-01-28
2020-01-28T10:00:00Z,27.813,2020-01-28
2020-01-28T10:10:00Z,27.862499999999997,2020-01-28
2020-01-28T10:20:00Z,27.813499999999998,2020-01-28
2020-01-28T10:30:00Z,27.813499999999998,2020-01-28
2020-01-28T10:40:00Z,27.862499999999997,2020-01-28
2020-01-28T10:50:00Z,27.813499999999998,2020-01-28
2020-01-28T11:00:00Z,27.813499999999998,2020-01-28
2020-01-28T11:10:00Z,27.813499999999998,2020-01-28
2020-01-28T11:20:00Z,27.862499999999997,2020-01-28
2020-01-28T11:30:00Z,27.862499999999997,2020-01-28
2020-01-28T11:40:00Z,27.912,2020-01-28
2020-01-28T11:50:00Z,27.9615,2020-01-28
2020-01-28T12:00:00Z,28.011,2020-01-28
2020-01-28T12:10:00Z,27.9615,2020-01-28
2020-01-28T12:20:00Z,27.9615,2020-01-28
2020-01-28T12:30:00Z,27.9615,2020-01-28
2020-01-28T12:40:00Z,27.9615,2020-01-28
2020-01-28T12:50:00Z,28.0105,2020-01-28
2020-01-28T13:00:00Z,28.0105,2020-01-28
2020-01-28T13:10:00Z,28.0105,2020-01-28
2020-01-28T13:20:00Z,28.109499999999997,2020-01-28
2020-01-28T13:30:00Z,28.2085,2020-01-28
2020-01-28T13:40:00Z,28.307499999999997,2020-01-28
2020-01-28T13:50:00Z,28.2085,2020-01-28
2020-01-28T14:00:00Z,28.159,2020-01-28
2020-01-28T14:10:00Z,28.2085,2020-01-28
2020-01-28T14:20:00Z,28.307499999999997,2020-01-28
2020-01-28T14:30:00Z,28.307499999999997,2020-01-28
2020-01-28T14:40:00Z,28.357,2020-01-28
2020-01-28T14:50:00Z,28.4565,2020-01-28
2020-01-28T15:00:00Z,28.357,2020-01-28
2020-01-28T15:10:00Z,28.4565,2020-01-28
2020-01-28T15:20:00Z,28.555500000000002,2020-01-28
2020-01-28T15:30:00Z,28.605,2020-01-28
