"Plot Title: 10551954"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10551954, SEN S/N: 10551954)","Intensity, lum/ft² (LGR S/N: 10551954, SEN S/N: 10551954)"
1,01/26/20 03:00:00 PM,29.552,144.0
2,01/26/20 03:10:00 PM,29.452,152.0
3,01/26/20 03:20:00 PM,29.452,66.0
4,01/26/20 03:30:00 PM,29.452,79.0
5,01/26/20 03:40:00 PM,29.452,92.0
6,01/26/20 03:50:00 PM,29.452,73.0
7,01/26/20 04:00:00 PM,29.452,63.0
8,01/26/20 04:10:00 PM,29.452,58.0
9,01/26/20 04:20:00 PM,29.352,53.0
10,01/26/20 04:30:00 PM,29.352,50.0
11,01/26/20 04:40:00 PM,29.352,66.0
12,01/26/20 04:50:00 PM,29.252,42.0
13,01/26/20 05:00:00 PM,29.152,34.0
14,01/26/20 05:10:00 PM,29.152,28.0
15,01/26/20 05:20:00 PM,29.053,23.0
16,01/26/20 05:30:00 PM,28.953,20.0
17,01/26/20 05:40:00 PM,28.853,18.0
18,01/26/20 05:50:00 PM,28.754,15.0
19,01/26/20 06:00:00 PM,28.655,13.0
20,01/26/20 06:10:00 PM,28.555,10.0
21,01/26/20 06:20:00 PM,28.456,8.0
22,01/26/20 06:30:00 PM,28.357,4.0
23,01/26/20 06:40:00 PM,28.258,1.0
24,01/26/20 06:50:00 PM,28.258,0.0
25,01/26/20 07:00:00 PM,28.258,0.0
26,01/26/20 07:10:00 PM,28.258,0.0
27,01/26/20 07:20:00 PM,28.258,0.0
28,01/26/20 07:30:00 PM,28.258,0.0
29,01/26/20 07:40:00 PM,28.258,0.0
30,01/26/20 07:50:00 PM,28.258,0.0
31,01/26/20 08:00:00 PM,28.258,0.0
32,01/26/20 08:10:00 PM,28.159,0.0
33,01/26/20 08:20:00 PM,28.060,0.0
34,01/26/20 08:30:00 PM,28.060,0.0
35,01/26/20 08:40:00 PM,28.060,0.0
36,01/26/20 08:50:00 PM,27.961,0.0
37,01/26/20 09:00:00 PM,27.961,0.0
38,01/26/20 09:10:00 PM,27.961,0.0
39,01/26/20 09:20:00 PM,27.961,0.0
40,01/26/20 09:30:00 PM,27.961,0.0
41,01/26/20 09:40:00 PM,28.060,0.0
42,01/26/20 09:50:00 PM,28.060,0.0
43,01/26/20 10:00:00 PM,28.060,0.0
44,01/26/20 10:10:00 PM,28.060,0.0
45,01/26/20 10:20:00 PM,27.961,0.0
46,01/26/20 10:30:00 PM,27.961,0.0
47,01/26/20 10:40:00 PM,27.862,0.0
48,01/26/20 10:50:00 PM,27.862,0.0
49,01/26/20 11:00:00 PM,27.862,0.0
50,01/26/20 11:10:00 PM,27.764,0.0
51,01/26/20 11:20:00 PM,27.764,0.0
52,01/26/20 11:30:00 PM,27.665,0.0
53,01/26/20 11:40:00 PM,27.665,0.0
54,01/26/20 11:50:00 PM,27.665,0.0
55,01/27/20 12:00:00 AM,27.665,0.0
56,01/27/20 12:10:00 AM,27.665,0.0
57,01/27/20 12:20:00 AM,27.567,0.0
58,01/27/20 12:30:00 AM,27.567,0.0
59,01/27/20 12:40:00 AM,27.567,0.0
60,01/27/20 12:50:00 AM,27.567,0.0
61,01/27/20 01:00:00 AM,27.567,0.0
62,01/27/20 01:10:00 AM,27.468,0.0
63,01/27/20 01:20:00 AM,27.468,0.0
64,01/27/20 01:30:00 AM,27.468,0.0
65,01/27/20 01:40:00 AM,27.370,0.0
66,01/27/20 01:50:00 AM,27.370,0.0
67,01/27/20 02:00:00 AM,27.370,0.0
68,01/27/20 02:10:00 AM,27.272,0.0
69,01/27/20 02:20:00 AM,27.272,0.0
70,01/27/20 02:30:00 AM,27.272,0.0
71,01/27/20 02:40:00 AM,27.272,0.0
72,01/27/20 02:50:00 AM,27.272,0.0
73,01/27/20 03:00:00 AM,27.272,0.0
74,01/27/20 03:10:00 AM,27.272,0.0
75,01/27/20 03:20:00 AM,27.173,0.0
76,01/27/20 03:30:00 AM,27.173,0.0
77,01/27/20 03:40:00 AM,27.173,0.0
78,01/27/20 03:50:00 AM,27.075,0.0
79,01/27/20 04:00:00 AM,27.075,0.0
80,01/27/20 04:10:00 AM,27.075,0.0
81,01/27/20 04:20:00 AM,27.075,0.0
82,01/27/20 04:30:00 AM,27.075,0.0
83,01/27/20 04:40:00 AM,27.075,0.0
84,01/27/20 04:50:00 AM,26.977,0.0
85,01/27/20 05:00:00 AM,26.977,0.0
86,01/27/20 05:10:00 AM,26.977,0.0
87,01/27/20 05:20:00 AM,26.977,0.0
88,01/27/20 05:30:00 AM,26.977,1.0
89,01/27/20 05:40:00 AM,26.879,6.0
90,01/27/20 05:50:00 AM,26.879,14.0
91,01/27/20 06:00:00 AM,26.879,23.0
92,01/27/20 06:10:00 AM,26.879,23.0
93,01/27/20 06:20:00 AM,26.879,22.0
94,01/27/20 06:30:00 AM,26.879,50.0
95,01/27/20 06:40:00 AM,26.977,120.0
96,01/27/20 06:50:00 AM,26.879,86.0
97,01/27/20 07:00:00 AM,26.977,176.0
98,01/27/20 07:10:00 AM,26.977,168.0
99,01/27/20 07:20:00 AM,27.075,168.0
100,01/27/20 07:30:00 AM,27.173,184.0
101,01/27/20 07:40:00 AM,27.272,192.0
102,01/27/20 07:50:00 AM,27.370,200.0
103,01/27/20 08:00:00 AM,27.468,192.0
104,01/27/20 08:10:00 AM,27.567,208.0
105,01/27/20 08:20:00 AM,27.567,216.0
106,01/27/20 08:30:00 AM,27.665,232.0
107,01/27/20 08:40:00 AM,27.764,200.0
108,01/27/20 08:50:00 AM,27.665,136.0
109,01/27/20 09:00:00 AM,27.665,184.0
110,01/27/20 09:10:00 AM,27.764,232.0
111,01/27/20 09:20:00 AM,27.764,224.0
112,01/27/20 09:30:00 AM,27.764,240.0
113,01/27/20 09:40:00 AM,27.764,248.0
114,01/27/20 09:50:00 AM,27.665,176.0
115,01/27/20 10:00:00 AM,27.764,232.0
