"Plot Title: 10568876"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10568876, SEN S/N: 10568876)","Intensity, lum/ft² (LGR S/N: 10568876, SEN S/N: 10568876)"
1,01/26/20 03:00:00 PM,31.880,336.0
2,01/26/20 03:10:00 PM,31.472,480.0
3,01/26/20 03:20:00 PM,31.574,128.0
4,01/26/20 03:30:00 PM,32.394,256.0
5,01/26/20 03:40:00 PM,31.268,1216.0
6,01/26/20 03:50:00 PM,33.222,4608.0
7,01/26/20 04:00:00 PM,33.953,8192.0
8,01/26/20 04:10:00 PM,33.743,4352.0
9,01/26/20 04:20:00 PM,33.326,1792.0
10,01/26/20 04:30:00 PM,33.118,2432.0
11,01/26/20 04:40:00 PM,32.188,2432.0
12,01/26/20 04:50:00 PM,31.880,1664.0
13,01/26/20 05:00:00 PM,30.963,480.0
14,01/26/20 05:10:00 PM,30.457,672.0
15,01/26/20 05:20:00 PM,30.154,240.0
16,01/26/20 05:30:00 PM,29.853,184.0
17,01/26/20 05:40:00 PM,29.652,160.0
18,01/26/20 05:50:00 PM,29.452,128.0
19,01/26/20 06:00:00 PM,29.252,109.0
20,01/26/20 06:10:00 PM,29.053,85.0
21,01/26/20 06:20:00 PM,28.953,60.0
22,01/26/20 06:30:00 PM,28.754,38.0
23,01/26/20 06:40:00 PM,28.555,15.0
24,01/26/20 06:50:00 PM,28.456,3.0
25,01/26/20 07:00:00 PM,28.357,0.0
26,01/26/20 07:10:00 PM,28.258,0.0
27,01/26/20 07:20:00 PM,28.159,0.0
28,01/26/20 07:30:00 PM,28.159,0.0
29,01/26/20 07:40:00 PM,28.060,0.0
30,01/26/20 07:50:00 PM,28.060,0.0
31,01/26/20 08:00:00 PM,27.961,0.0
32,01/26/20 08:10:00 PM,27.961,0.0
33,01/26/20 08:20:00 PM,27.862,0.0
34,01/26/20 08:30:00 PM,27.862,0.0
35,01/26/20 08:40:00 PM,27.862,0.0
36,01/26/20 08:50:00 PM,27.764,0.0
37,01/26/20 09:00:00 PM,27.764,0.0
38,01/26/20 09:10:00 PM,27.764,0.0
39,01/26/20 09:20:00 PM,27.764,0.0
40,01/26/20 09:30:00 PM,27.665,0.0
41,01/26/20 09:40:00 PM,27.665,0.0
42,01/26/20 09:50:00 PM,27.665,0.0
43,01/26/20 10:00:00 PM,27.665,0.0
44,01/26/20 10:10:00 PM,27.567,0.0
